epoch,loss,mae,mse
0,0.10582613888180863,0.32891047,0.28561744
1,0.028889368237706565,0.168155,0.07613274
2,0.014268263962940644,0.113758564,0.039699957
3,0.007927012429335864,0.08461234,0.019556386
4,0.004817045605110036,0.0649795,0.009651315
5,0.003525034208008546,0.052226838,0.007066402
6,0.002742162153669396,0.043264106,0.0054959334
7,0.002166084815961135,0.036216255,0.0043388456
8,0.0017696088576547296,0.030775707,0.003543786
9,0.001506186251023437,0.026938159,0.0030155694
10,0.0013192078217043209,0.024188709,0.0026408301
11,0.0011875895458723466,0.022336556,0.0023772737
12,0.0010482875041276912,0.020406498,0.002098147
13,0.0009506134996072279,0.018923054,0.0019026103
14,0.0008467434822597493,0.017532596,0.0016945611
15,0.0007645025697903771,0.01630196,0.0015298699
16,0.0006870211768990099,0.014988681,0.0013747495
17,0.0006292698811641026,0.013947179,0.0012590867
18,0.0005820592928488375,0.012898776,0.0011645919
19,0.0005407461638057258,0.011958618,0.0010818957
20,0.0004993257654921578,0.010948051,0.0009989963
21,0.0004694579282116492,0.010147319,0.0009392019
22,0.00044692595532732244,0.009405919,0.00089414633
23,0.00042193215157860354,0.008622452,0.000844103
24,0.00039733340184330563,0.007966872,0.00079487095
25,0.00038048437933666413,0.0074202414,0.0007611665
26,0.00036538091692402645,0.0069565065,0.00073094567
27,0.00034863181817700484,0.006560191,0.0006974093
28,0.0003355722848258881,0.0062333606,0.00067127263
29,0.0003229860419119408,0.0059363157,0.000646091
30,0.00031255075115596055,0.0057475255,0.0006252164
31,0.0003009684520015903,0.005495133,0.0006020453
32,0.00029315813501282613,0.005322504,0.00058640656
33,0.00027927734895996057,0.005137691,0.00055863854
34,0.0002739690537949219,0.0049939356,0.0005480231
35,0.0002645335907769642,0.00484552,0.00052914047
36,0.0002578515477549537,0.0047383253,0.0005157641
37,0.00024947031041986105,0.004561263,0.00049899786
38,0.0002449294916498159,0.0044929963,0.0004899211
39,0.00023643604819603676,0.0043644677,0.00047292854
0,0.2928182780742645,0.6161834,0.780181
0,0.2928182780742645,0.6161834,0.780181
0,0.29460597038269043,0.62079334,0.7737452
0,0.29048866033554077,0.6151731,0.76869404
0,0.294989675283432,0.62503153,0.7589242
0,0.2927253246307373,0.6215427,0.7508751
0,0.2901189625263214,0.6166803,0.74458885
0,0.2915251851081848,0.61976045,0.74056697
0,0.28996923565864563,0.61795187,0.7332693
0,0.28085485100746155,0.6025857,0.72598106
0,0.28111809492111206,0.6033267,0.7218336
0,0.2736649215221405,0.5909523,0.7155182
0,0.271531343460083,0.5910043,0.7159255
0,0.2703242003917694,0.59005594,0.711837
0,0.2710625231266022,0.59189856,0.7028467
0,0.27436739206314087,0.598584,0.6988789
0,0.2681421935558319,0.5860508,0.6968823
0,0.2593986392021179,0.56816083,0.6959314
0,0.25536423921585083,0.56077284,0.68901145
0,0.24473685026168823,0.54000235,0.69621295
0,0.2454778552055359,0.54278183,0.6924462
0,0.24277441203594208,0.5397877,0.68512726
0,0.23847916722297668,0.53627264,0.6791036
0,0.23637691140174866,0.5325481,0.6755808
0,0.23681028187274933,0.5335119,0.6730709
0,0.23246188461780548,0.52532464,0.6669578
0,0.2410019189119339,0.5440577,0.6576603
0,0.23507505655288696,0.53400683,0.65762097
