epoch,accuracy,loss
0,0.9919774,0.0279144834267307
0,0.9974423,0.007256848109645327
0,0.99840605,0.004211741997327624
0,0.9983661,0.004368631583559564
0,0.9985794,0.003693580372166283
0,0.99841666,0.004344662966875565
0,0.9988798,0.0028349029778806747
0,0.99883354,0.003037235001595375
0,0.99900335,0.002445624684727498
0,0.9985613,0.003841091668326013
0,0.99412704,0.02107431217475589
0,0.99784684,0.005991935606659153
0,0.9984154,0.004099421961315892
0,0.997927,0.005905708626368462
0,0.99879503,0.003007516118163101
0,0.9988758,0.0027647670762913335
0,0.99831545,0.004726734114722033
0,0.9982491,0.005070675631355636
0,0.9983617,0.004515775185871585
0,0.99676555,0.008854441711988884
0,0.9978409,0.0058344741602491396
0,0.9982036,0.004862322613855398
0,0.99835366,0.004418685973840923
0,0.9985013,0.004015075322043277
0,0.9985844,0.0037947405152855503
0,0.9986185,0.0036914303930381596
0,0.9986496,0.0035965724089044794
0,0.9987752,0.003247399391188144
0,0.99873555,0.0033692488815809077
0,0.99865764,0.0035741725935052164
